pregunta,respuesta
"83) la Heredabilidad aumenta, pero no disminuye a lo largo del desarrollo ontogénico. V/",FALSO
"92) Cuando la estabilidad que presenta un rasgo comportamental a lo largo del desarrollo de un individuo es baja, consideramos que dicho rasgo es dependiente de las hormonas.  V/ F 
",FALSO
"94) Tanto el área de Broca como de Wernicke no existen en los primates no humanos. Esta evidencia nos permite afirmar que el lenguaje es una capacidad exclusiva de la especie humana. V/ F 
",FALSO
"92) Cuando la estabilidad que presenta un rasgo comportamental a lo largo del desarrollo de un individuo es baja, consideramos que dicho rasgo es dependiente de las hormonas.  V/ F 
",FALSO
"94) Tanto el área de Broca como de Wernicke no existen en los primates no humanos. Esta evidencia nos permite afirmar que el lenguaje es una capacidad exclusiva de la especie humana. V/ F 
",FALSO
20) V/F. Tanto la estructura general de la frase como las estructuras de los argumentos... es una evidencia firme que se contradice con el enfoque conductista del lenguaje y afirma la posición de los lingüistas.,VERDADERO
21) V/F. EL lenguaje es una versión modificada de una estructura que tuvo alguna vez otra función siendo la selección natural la fuerza modificadora.,VERDADERO
"92) Cuando la estabilidad que presenta un rasgo comportamental a lo largo del desarrollo de un individuo es baja, consideramos que dicho rasgo es dependiente de las hormonas.  V/ F 
",FALSO
"94) Tanto el área de Broca como de Wernicke no existen en los primates no humanos. Esta evidencia nos permite afirmar que el lenguaje es una capacidad exclusiva de la especie humana. V/ F 
",FALSO
"92) Cuando la estabilidad que presenta un rasgo comportamental a lo largo del desarrollo de un individuo es baja, consideramos que dicho rasgo es dependiente de las hormonas.  V/ F 
",FALSO
"94) Tanto el área de Broca como de Wernicke no existen en los primates no humanos. Esta evidencia nos permite afirmar que el lenguaje es una capacidad exclusiva de la especie humana. V/ F 
",FALSO
"64) La ventaja de utilizar un modelo que compara la semejanza de rasgos comportamentales entre gemelos versus entre mellizos, se debe a que en ambas situaciones el grado de parentesco entre padres e hijos es el mismo. V / F",FALSO
"65) Absolutamente todas las civilizaciones conocidas, han desarrollado una lengua que sirve exactamente a los mismo propósitos en cada una de ellas. Además, hay hechos que se repiten en todas las lenguas: los conocidos universales lingüísticos, por ejemplo, todas las lenguas conocidas (vivas o muertas) tienen sustantivo y verbo. V / F",VERDADERO
"65) Lo que hoy tenemos como diversidad biológica viva, representa una parte infinitesimal del total de diversidad que alguna vez existió sobre la tierra. Solo tenemos acceso a una pequeña muestra y es difícil pensar en evolución del lenguaje, solo a partir de esa pequeña muestra (chimpancés y gorilas) y menos aún si pensamos bajos la teoría equivocada que considera que las variantes surgieron de forma encadenada (con los chimpancés dando origen a los humanos).",FALSO
"66) SEGÚN LA PSICOLOGÍA EVOLUTIVA, EL ORIGEN DE LA INFIDELIDAD ES DIFERENTE EN HOMBRES Y MUJERES  V O F",VERDADERO
"67) V o F. LA HEREDABILIDAD NO PUEDE CAMBIAR, EXCEPTO QUE SE CAMBIEN LOS INTEGRANTES DE LA POBLACIÓN DEL GRUPO DE ESTUDIO.",FALSO
29) El genoma que dispone un sujeto es único y no cambia durante su vida (V ó F).,VERDADERO
30) la heredabilidad de un rasgo no puede cambiar por sólo modificar el ambiente (V ó F).,FALSO
32) ¿Los rasgos comportamentales adquiridos por maduración en un individuo pueden modificarse por el ambiente? (V ó F).,VERDADERO
33) Cualquier estímulo puede producir cambios en el desarrollo del individuo (V ó F).,FALSO
34) La anisogamia y la inversión parental son los principales responsables de las estrategias sexuales para cada sexo (V ó F).,VERDADERO
